Area,Item Code,Item,Year Code,Year,Unit,Value
Netherlands,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.2
Netherlands,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,4.3
New Caledonia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
New Caledonia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
New Caledonia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
New Zealand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,41642
New Zealand,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,14.5
New Zealand,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,12.4
New Zealand,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,12.8
Nicaragua,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5284.5
Nicaragua,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Nicaragua,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Nicaragua,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Niger,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1221.3
Niger,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Niger,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Niger,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Nigeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4916.7
Nigeria,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,58.5
Nigeria,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,73.5
Nigeria,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,77.9
Niue,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Niue,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Niue,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
North Macedonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,15779.7
North Macedonia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,20.9
North Macedonia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,18.9
North Macedonia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,20.8
Norway,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,63548
Norway,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,4.3
Norway,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.6
Norway,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,4
Oman,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,29502.1
Oman,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Oman,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Oman,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Pakistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5144.3
Pakistan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,32.6
Pakistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,37.7
Pakistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,45
Palau,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,15471.4
Palau,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Palau,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Palau,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Palestine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5402.5
Palestine,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,28.7
Palestine,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Palestine,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Panama,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,25389.8
Panama,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Panama,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Panama,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Papua New Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4063.2
Papua New Guinea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Papua New Guinea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Papua New Guinea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Paraguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12357.9
Paraguay,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,25.3
Paraguay,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,33.2
Paraguay,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,35.1
Peru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,11289.8
Peru,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,50.5
Peru,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,44.5
Peru,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,52.9
Philippines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,7958.4
Philippines,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,43.8
Philippines,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,56.9
Philippines,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,55.6
Poland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,32398.7
Poland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.4
Poland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,5.3
Poland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,8.4
Portugal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,31961.8
Portugal,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,11.6
Portugal,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,9.7
Portugal,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,12.4
Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,32551.1
Puerto Rico,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Puerto Rico,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Puerto Rico,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Qatar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,85290.5
Qatar,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Qatar,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Qatar,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Republic of Korea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,42335.9
Republic of Korea,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.3
Republic of Korea,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,6.4
Republic of Korea,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,4.3
Republic of Moldova,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12269.9
Republic of Moldova,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,24.9
Republic of Moldova,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,21.1
Republic of Moldova,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,28.4
Romania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,28925.8
Romania,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,13.4
Romania,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,10.9
Romania,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,14.1
Russian Federation,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,26578.5
Russian Federation,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.5
Russian Federation,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,20.1
Russian Federation,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,19.5
Rwanda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2098.6
Rwanda,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Rwanda,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Rwanda,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Kitts and Nevis,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,24308
Saint Kitts and Nevis,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,26.9
Saint Kitts and Nevis,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Kitts and Nevis,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Lucia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12048.9
Saint Lucia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Saint Lucia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Lucia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Vincent and the Grenadines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12706.7
Saint Vincent and the Grenadines,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,33.3
Saint Vincent and the Grenadines,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Saint Vincent and the Grenadines,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Samoa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6413.3
Samoa,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,23.6
Samoa,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Samoa,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Sao Tome and Principe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4051.6
Sao Tome and Principe,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,54.6
Sao Tome and Principe,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,53.2
Sao Tome and Principe,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,56.3
Saudi Arabia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,44349.5
Saudi Arabia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Saudi Arabia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Saudi Arabia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Senegal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3321.7
Senegal,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,49.2
Senegal,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,58.7
Senegal,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,46.5
Serbia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,18255.1
Serbia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,14.1
Serbia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13.6
Serbia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,14
Seychelles,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,26867.6
Seychelles,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Seychelles,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Seychelles,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Sierra Leone,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1637.3
Sierra Leone,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,86.7
Sierra Leone,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,89
Sierra Leone,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,90.5
Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,94505.6
Singapore,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,4.6
Singapore,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.1
Singapore,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,4.9
Slovakia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,30509.8
Slovakia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.7
Slovakia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,6.7
Slovakia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,8.5
Slovenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,37050.5
Slovenia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.4
Slovenia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,5.3
Slovenia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,9.2
Solomon Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2482.4
Solomon Islands,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Solomon Islands,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Solomon Islands,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Somalia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1181
Somalia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,77.4
Somalia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Somalia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
South Africa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12665.8
South Africa,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,19
South Africa,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,40.7
South Africa,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,48.9
South Sudan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,86.4
South Sudan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
South Sudan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Spain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,36210.9
Spain,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,8.6
Spain,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,7.3
Spain,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,9.3
Sri Lanka,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12540
Sri Lanka,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,10
Sri Lanka,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,53.6
Sri Lanka,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,43.6
Sudan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3927
Sudan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,50.7
Sudan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Sudan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Suriname,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,15864.6
Suriname,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,35.8
Suriname,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,31.2
Suriname,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,40.3
Sweden,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,50925.2
Sweden,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,5.3
Sweden,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,4.6
Sweden,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,5.1
Switzerland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,68755.4
Switzerland,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,2.2
Switzerland,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,2.4
Switzerland,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,1.8
Syrian Arab Republic,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Syrian Arab Republic,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Syrian Arab Republic,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Tajikistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3654.1
Tajikistan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Tajikistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Tajikistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Thailand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,17253.1
Thailand,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,33.8
Thailand,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,29.4
Thailand,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,36.6
Timor-Leste,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,3925.9
Timor-Leste,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Timor-Leste,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Timor-Leste,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Togo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2107.9
Togo,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,62.5
Togo,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,68.2
Togo,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,64.2
Tokelau,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Tokelau,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Tokelau,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Tonga,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6346.2
Tonga,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,23.2
Tonga,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Tonga,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Trinidad and Tobago,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,24768.7
Trinidad and Tobago,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,43.3
Trinidad and Tobago,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,41.7
Trinidad and Tobago,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,44.6
Tunisia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10314
Tunisia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,28
Tunisia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,27.2
Tunisia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,28
Türkiye,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,28393.5
Türkiye,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Türkiye,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Türkiye,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Turkmenistan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Turkmenistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Turkmenistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Tuvalu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,4542.9
Tuvalu,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Tuvalu,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Tuvalu,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Uganda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,2175
Uganda,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,72.5
Uganda,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,79.4
Uganda,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,75.1
Ukraine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12407.8
Ukraine,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,22.7
Ukraine,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,20.2
Ukraine,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,24.6
United Arab Emirates,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,63299.4
United Arab Emirates,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,7.5
United Arab Emirates,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,13.2
